data,product_id,nome,preco,preco_original,n_ofertas,item_id,seller_id,frete_gratis,full,permalink
2026-07-30,MLB32609622,Kellan Smooth Passo 1 Shampoo Profissional 1l,65.0,,2,MLB3651403207,428118896,True,False,https://www.mercadolivre.com.br/p/MLB32609622
2026-07-30,MLB42455806,"Shampoo Profissional Babosa 1,9l - Kelma",23.9,,3,MLB6658162452,3391774,True,True,https://www.mercadolivre.com.br/p/MLB42455806
2026-07-30,MLB20187397,Shampoo Profissional Lavatório 2500 Ml Limpeza Profunda,210.21,,2,MLB5351085668,722683659,True,False,https://www.mercadolivre.com.br/p/MLB20187397
2026-07-30,MLB20335700,Condicionador Hidratação Profunda Vitallederm 300ml,69.9,,4,MLB6816025638,50706999,True,False,https://www.mercadolivre.com.br/p/MLB20335700
2026-07-30,MLB52965346,Kit Shampoo+ Condicionador+ Hidratação+fluido Escova-trivitt,194.51,249.38,2,MLB5829779184,13604495,True,False,https://www.mercadolivre.com.br/p/MLB52965346
2026-07-30,MLB29607113,Condicionador Hidratação Equilibrante Patauá300ml Loccitane,59.9,,7,MLB4545582661,434430484,True,False,https://www.mercadolivre.com.br/p/MLB29607113
2026-07-30,MLB20259017,Condicionador Hidratação Intensiva - Arvensis - 300ml,64.9,,6,MLB3493898207,1252665230,True,False,https://www.mercadolivre.com.br/p/MLB20259017
2026-07-30,MLB22373275,TRESemmé Condicionador Hidratação Profunda 400ml,25.93,39.99,6,MLB3365267768,480265022,True,True,https://www.mercadolivre.com.br/p/MLB22373275
2026-07-30,MLB27678584,TRESemmé Condicionador Hidratação Profunda 650ml,44.81,50.89,4,MLB3562625077,179105330,True,False,https://www.mercadolivre.com.br/p/MLB27678584
2026-07-30,MLB34696930,Kit Lowell LisoMágico Shampoo Condicionador Hidratação Alisamento,151.8,,2,MLB5230497536,1898091970,True,False,https://www.mercadolivre.com.br/p/MLB34696930
2026-07-30,MLB45572007,Dacca Kit Shampoo Condicionador Hidratação Protetor Térmico,104.0,195.89,2,MLB3963056909,163129478,True,True,https://www.mercadolivre.com.br/p/MLB45572007
2026-07-30,MLB36478561,Condicionador Hidratação Equilibrante Patauá 50ml,45.01,47.38,2,MLB7069522880,1709561750,True,True,https://www.mercadolivre.com.br/p/MLB36478561
2026-07-30,MLB20817880,Baby Dove Condicionador Hidratação Enriquecida 200ml,14.99,19.9,5,MLB3696509848,480265022,True,True,https://www.mercadolivre.com.br/p/MLB20817880
2026-07-30,MLB19769465,Máscara Capilar Hidratação Betobita 300g,53.9,,3,MLB6182423128,3061553325,True,False,https://www.mercadolivre.com.br/p/MLB19769465
2026-07-30,MLB39006259,Máscara Capilar Siàge Hidratação Micelar 250g,58.53,,6,MLB3979265617,1829937367,True,False,https://www.mercadolivre.com.br/p/MLB39006259
2026-07-30,MLB23187259,Máscara Capilar Hidratação Quiabo Vitiss 500g,46.69,53.9,2,MLB5270181014,178760490,True,False,https://www.mercadolivre.com.br/p/MLB23187259
2026-07-30,MLB61272803,Máscara Capilar Hidratação Intensiva Arvensis 300g,59.09,,9,MLB4865254931,68773568,True,False,https://www.mercadolivre.com.br/p/MLB61272803
2026-07-30,MLB66383651,Escova Progressiva Capilar Vegana Burix 1l Prohall +,499.8,,3,MLB7253280248,321983015,True,True,https://www.mercadolivre.com.br/p/MLB66383651
2026-07-30,MLB68726370,Progressiva Capilar Vegana 500ml S/ Formol Agilcap Belletonn,154.54,179.9,2,MLB6781688500,107354664,True,False,https://www.mercadolivre.com.br/p/MLB68726370
2026-07-30,MLB28456268,Progressiva Capilar 0% Formol Orgânica 250ml Cabelos Lisos,78.85,,2,MLB6184926982,288905687,True,False,https://www.mercadolivre.com.br/p/MLB28456268
2026-07-30,MLB19769901,Loção Capilar Progressiva Pindorama 120ml,30.75,,9,MLB4010483457,1454293072,True,False,https://www.mercadolivre.com.br/p/MLB19769901
2026-07-30,MLB20785262,Loção Capilar Progressiva Camelia Formula Original,25.9,,5,MLB4802992711,1441287100,True,False,https://www.mercadolivre.com.br/p/MLB20785262
2026-07-30,MLB19855648,Loção Capilar Restauradora Progressiva Gradual Unissex,62.9,,3,MLB4156313599,2605999313,True,False,https://www.mercadolivre.com.br/p/MLB19855648
2026-07-30,MLB53230065,Kit Cronograma Capilar Pós Progressiva - Aneethun,278.08,,5,MLB4159294945,1744157697,True,False,https://www.mercadolivre.com.br/p/MLB53230065
2026-07-30,MLB25713591,Óleo capilr negra rosa/ óleo capilar rosa mosqueta/ blend de óleo capilar negra rosa,28.52,,3,MLB4828355011,124785147,True,False,https://www.mercadolivre.com.br/p/MLB25713591
2026-07-30,MLB28389837,Óleo Capilar 50ml - Metal Detox,195.9,,3,MLB4692874291,3347722799,True,False,https://www.mercadolivre.com.br/p/MLB28389837
2026-07-30,MLB70530506,Óleo capilar Farmax Capilar hidratação de 100mL 100g,39.9,,2,MLB7273735588,1441287100,True,False,https://www.mercadolivre.com.br/p/MLB70530506
2026-07-30,MLB34124591,Óleo Capilar Ricino 60ml Fixed,21.0,,2,MLB4168331053,91565746,True,False,https://www.mercadolivre.com.br/p/MLB34124591
2026-07-30,MLB62880371,Oleo Capilar Coco Pepilon 120ml,20.99,,9,MLB4656324171,1048083636,True,False,https://www.mercadolivre.com.br/p/MLB62880371
